price,rooms,year built,kr/m2,m2,datetime,postal_code,Loan interest rate,Inflation,Salary,GDP,category
1375000.0,2.0,1939.0,24123.0,57.0,2017-03-29,2830.0,0.1,0.3,100.8,495.4,50
9100000.0,4.0,2008.0,61486.0,148.0,2017-03-29,1561.0,0.1,0.3,100.8,495.4,31
2999000.0,4.0,2017.0,27018.0,111.0,2017-03-29,2300.0,0.1,0.3,100.8,495.4,29
4300000.0,5.0,1956.0,25749.0,167.0,2017-03-29,2605.0,0.1,0.3,100.8,495.4,3
4000000.0,3.0,1936.0,33898.0,118.0,2017-03-29,2000.0,0.1,0.3,100.8,495.4,9
4150000.0,3.0,2018.0,51235.0,81.0,2017-03-29,2150.0,0.1,0.3,100.8,495.4,35
2795000.0,2.0,2018.0,47373.0,59.0,2017-03-29,2450.0,0.1,0.3,100.8,495.4,30
2900000.0,4.0,2017.0,28713.0,101.0,2017-03-29,2730.0,0.1,0.3,100.8,495.4,16
2695000.0,3.0,2017.0,31706.0,85.0,2017-03-29,2880.0,0.1,0.3,100.8,495.4,1
1575000.0,2.0,1962.0,23162.0,68.0,2017-03-29,2800.0,0.1,0.3,100.8,495.4,25
1975000.0,2.0,1936.0,35268.0,56.0,2017-03-28,2300.0,0.1,0.3,100.8,495.4,29
1875000.0,3.0,1932.0,22590.0,83.0,2017-03-28,2700.0,0.1,0.3,100.8,495.4,5
3500000.0,2.0,1898.0,54688.0,64.0,2017-03-28,1067.0,0.1,0.3,100.8,495.4,26
2095000.0,3.0,1961.0,25549.0,82.0,2017-03-28,2970.0,0.1,0.3,100.8,495.4,19
1600000.0,4.0,1972.0,15686.0,102.0,2017-03-28,2620.0,0.1,0.3,100.8,495.4,0
2900000.0,4.0,1968.0,30851.0,94.0,2017-03-28,2800.0,0.1,0.3,100.8,495.4,25
2260000.0,3.0,1939.0,33731.0,67.0,2017-03-28,2920.0,0.1,0.3,100.8,495.4,6
1895000.0,2.0,1932.0,33246.0,57.0,2017-03-28,2900.0,0.1,0.3,100.8,495.4,15
1450000.0,2.0,1934.0,26852.0,54.0,2017-03-28,2700.0,0.1,0.3,100.8,495.4,5
2350000.0,2.0,1934.0,41964.0,56.0,2017-03-28,2100.0,0.1,0.3,100.8,495.4,32
2265000.0,2.0,1893.0,41944.0,54.0,2017-03-28,2100.0,0.1,0.3,100.8,495.4,32
773000.0,3.0,1939.0,11712.0,66.0,2017-03-28,2610.0,0.1,0.3,100.8,495.4,38
4175000.0,4.0,1906.0,38657.0,108.0,2017-03-28,2100.0,0.1,0.3,100.8,495.4,32
1209834.0,2.0,1941.0,19833.0,61.0,2017-03-28,2000.0,0.1,0.3,100.8,495.4,9
2400000.0,2.0,1918.0,32432.0,74.0,2017-03-28,2300.0,0.1,0.3,100.8,495.4,29
3875000.0,3.0,1963.0,48438.0,80.0,2017-03-28,2200.0,0.1,0.3,100.8,495.4,27
5599000.0,4.0,2021.0,42740.0,131.0,2017-03-28,2610.0,0.1,0.3,100.8,495.4,38
4495000.0,3.0,2018.0,46340.0,97.0,2017-03-28,1799.0,0.1,0.3,100.8,495.4,31
5695000.0,4.0,1963.0,35154.0,162.0,2017-03-28,2300.0,0.1,0.3,100.8,495.4,29
4595000.0,3.0,2018.0,47371.0,97.0,2017-03-28,1799.0,0.1,0.3,100.8,495.4,31
4395000.0,3.0,2018.0,45781.0,96.0,2017-03-28,1799.0,0.1,0.3,100.8,495.4,31
3105000.0,4.0,2008.0,27000.0,115.0,2017-03-28,2765.0,0.1,0.3,100.8,495.4,41
2995000.0,3.0,2009.0,34034.0,88.0,2017-03-28,2500.0,0.1,0.3,100.8,495.4,45
1575000.0,2.0,1996.0,24231.0,65.0,2017-03-28,2750.0,0.1,0.3,100.8,495.4,2
2600000.0,1.0,2008.0,30233.0,86.0,2017-03-28,2300.0,0.1,0.3,100.8,495.4,29
1725000.0,5.0,1884.0,11655.0,148.0,2017-03-27,1850.0,0.1,0.3,100.8,495.4,10
1250000.0,2.0,1969.0,16234.0,77.0,2017-03-27,2635.0,0.1,0.3,100.8,495.4,20
2695000.0,2.0,2004.0,39058.0,69.0,2017-03-27,2450.0,0.1,0.3,100.8,495.4,30
4045000.0,3.0,2003.0,49938.0,81.0,2017-03-27,2500.0,0.1,0.3,100.8,495.4,45
2060000.0,3.0,1981.0,21684.0,95.0,2017-03-27,2765.0,0.1,0.3,100.8,495.4,41
1250000.0,2.0,1939.0,20833.0,60.0,2017-03-27,2665.0,0.1,0.3,100.8,495.4,47
5455000.0,4.0,1931.0,37621.0,145.0,2017-03-27,2100.0,0.1,0.3,100.8,495.4,32
2295000.0,4.0,1969.0,20310.0,113.0,2017-03-27,2880.0,0.1,0.3,100.8,495.4,1
1552000.0,2.0,1946.0,27228.0,57.0,2017-03-27,2860.0,0.1,0.3,100.8,495.4,43
4500000.0,4.0,1874.0,45918.0,98.0,2017-03-27,1879.0,0.1,0.3,100.8,495.4,10
650000.0,1.0,1971.0,19697.0,33.0,2017-03-27,2635.0,0.1,0.3,100.8,495.4,20
2930000.0,4.0,1953.0,28173.0,104.0,2017-03-27,2000.0,0.1,0.3,100.8,495.4,9
1945000.0,4.0,1964.0,18702.0,104.0,2017-03-27,2625.0,0.1,0.3,100.8,495.4,46
2340000.0,3.0,1959.0,30000.0,78.0,2017-03-27,2700.0,0.1,0.3,100.8,495.4,5
2100000.0,2.0,1972.0,34426.0,61.0,2017-03-27,2830.0,0.1,0.3,100.8,495.4,50
2675000.0,2.0,1967.0,39925.0,67.0,2017-03-27,2000.0,0.1,0.3,100.8,495.4,9
2665000.0,3.0,1977.0,28351.0,94.0,2017-03-27,2720.0,0.1,0.3,100.8,495.4,48
3600000.0,2.0,1978.0,45000.0,80.0,2017-03-27,2900.0,0.1,0.3,100.8,495.4,15
2850000.0,3.0,1932.0,36538.0,78.0,2017-03-27,2450.0,0.1,0.3,100.8,495.4,30
2250000.0,2.0,2006.0,36290.0,62.0,2017-03-27,2300.0,0.1,0.3,100.8,495.4,29
3945000.0,3.0,2006.0,44326.0,89.0,2017-03-27,2300.0,0.1,0.3,100.8,495.4,29
2650000.0,3.0,2006.0,27895.0,95.0,2017-03-27,2600.0,0.1,0.3,100.8,495.4,12
5850000.0,4.0,2015.0,49576.0,118.0,2017-03-27,2150.0,0.1,0.3,100.8,495.4,35
4688281.0,3.0,2018.0,44650.0,105.0,2017-03-27,2450.0,0.1,0.3,100.8,495.4,30
3550000.0,3.0,2016.0,39888.0,89.0,2017-03-27,2950.0,0.1,0.3,100.8,495.4,49
6500000.0,5.0,1790.0,42208.0,154.0,2017-03-27,1209.0,0.1,0.3,100.8,495.4,26
1500000.0,2.0,1966.0,24194.0,62.0,2017-03-26,2880.0,0.1,0.3,100.8,495.4,1
1600500.0,1.0,1938.0,38107.0,42.0,2017-03-26,2200.0,0.1,0.3,100.8,495.4,27
1900000.0,4.0,1974.0,16379.0,116.0,2017-03-26,2630.0,0.1,0.3,100.8,495.4,44
2298000.0,3.0,1930.0,30237.0,76.0,2017-03-26,2500.0,0.1,0.3,100.8,495.4,45
3995000.0,4.0,1901.0,46453.0,86.0,2017-03-26,2200.0,0.1,0.3,100.8,495.4,27
2170000.0,2.0,1904.0,40185.0,54.0,2017-03-26,2100.0,0.1,0.3,100.8,495.4,32
3500000.0,3.0,1932.0,46053.0,76.0,2017-03-26,2000.0,0.1,0.3,100.8,495.4,9
4000000.0,2.0,2005.0,47619.0,84.0,2017-03-26,2300.0,0.1,0.3,100.8,495.4,29
840000.0,1.0,1966.0,22105.0,38.0,2017-03-26,2880.0,0.1,0.3,100.8,495.4,1
3995000.0,3.0,2006.0,44389.0,90.0,2017-03-26,2300.0,0.1,0.3,100.8,495.4,29
1964000.0,3.0,1968.0,21822.0,90.0,2017-03-26,2500.0,0.1,0.3,100.8,495.4,45
2425000.0,2.0,1934.0,38492.0,63.0,2017-03-26,1874.0,0.1,0.3,100.8,495.4,10
2675000.0,3.0,1984.0,36644.0,73.0,2017-03-26,2820.0,0.1,0.3,100.8,495.4,11
2245000.0,5.0,1973.0,18708.0,120.0,2017-03-26,2750.0,0.1,0.3,100.8,495.4,2
770000.0,2.0,1966.0,16383.0,47.0,2017-03-26,2665.0,0.1,0.3,100.8,495.4,47
2675000.0,3.0,1941.0,37153.0,72.0,2017-03-26,2300.0,0.1,0.3,100.8,495.4,29
3600000.0,4.0,2005.0,43902.0,82.0,2017-03-26,2100.0,0.1,0.3,100.8,495.4,32
3100000.0,3.0,2014.0,34066.0,91.0,2017-03-26,2500.0,0.1,0.3,100.8,495.4,45
2853901.0,2.0,2018.0,48371.0,59.0,2017-03-26,2450.0,0.1,0.3,100.8,495.4,30
5350000.0,4.0,1931.0,32036.0,167.0,2017-03-26,2920.0,0.1,0.3,100.8,495.4,6
3000000.0,3.0,2014.0,32258.0,93.0,2017-03-26,2500.0,0.1,0.3,100.8,495.4,45
1752000.0,3.0,1911.0,21366.0,82.0,2017-03-25,2300.0,0.1,0.3,100.8,495.4,29
1400000.0,2.0,1970.0,27451.0,51.0,2017-03-25,1817.0,0.1,0.3,100.8,495.4,10
4195000.0,4.0,1892.0,44628.0,94.0,2017-03-25,2200.0,0.1,0.3,100.8,495.4,27
1570000.0,2.0,1975.0,23433.0,67.0,2017-03-25,2630.0,0.1,0.3,100.8,495.4,44
1650000.0,2.0,1937.0,32353.0,51.0,2017-03-25,2720.0,0.1,0.3,100.8,495.4,48
1465000.0,2.0,1938.0,26636.0,55.0,2017-03-25,2860.0,0.1,0.3,100.8,495.4,43
4450000.0,4.0,1915.0,40455.0,110.0,2017-03-25,2100.0,0.1,0.3,100.8,495.4,32
3269368.0,2.0,1938.0,41384.0,79.0,2017-03-25,1879.0,0.1,0.3,100.8,495.4,10
4700000.0,3.0,1898.0,51648.0,91.0,2017-03-25,2100.0,0.1,0.3,100.8,495.4,32
3695000.0,4.0,1978.0,30287.0,122.0,2017-03-25,2000.0,0.1,0.3,100.8,495.4,9
3149000.0,3.0,2004.0,37047.0,85.0,2017-03-25,2450.0,0.1,0.3,100.8,495.4,30
1720000.0,3.0,1964.0,23889.0,72.0,2017-03-25,2610.0,0.1,0.3,100.8,495.4,38
5775000.0,4.0,2008.0,50217.0,115.0,2017-03-25,2300.0,0.1,0.3,100.8,495.4,29
3900000.0,2.0,1900.0,44828.0,87.0,2017-03-24,2100.0,0.1,0.3,100.8,495.4,32
1698000.0,3.0,1948.0,27836.0,61.0,2017-03-24,2500.0,0.1,0.3,100.8,495.4,45
1665000.0,3.0,1939.0,16990.0,98.0,2017-03-24,2450.0,0.1,0.3,100.8,495.4,30
4425000.0,4.0,1907.0,38816.0,114.0,2017-03-23,2300.0,0.1,0.3,100.8,495.4,29
2075000.0,2.0,1932.0,35776.0,58.0,2017-03-23,2500.0,0.1,0.3,100.8,495.4,45
342500.0,3.0,1935.0,5437.0,63.0,2017-03-23,2300.0,0.1,0.3,100.8,495.4,29
1975000.0,2.0,1958.0,36574.0,54.0,2017-03-23,2820.0,0.1,0.3,100.8,495.4,11
1660000.0,2.0,1973.0,24776.0,67.0,2017-03-23,2400.0,0.1,0.3,100.8,495.4,28
5850000.0,3.0,1997.0,49576.0,118.0,2017-03-23,2100.0,0.1,0.3,100.8,495.4,32
2400000.0,2.0,1932.0,42105.0,57.0,2017-03-23,2100.0,0.1,0.3,100.8,495.4,32
2950000.0,3.0,1932.0,38312.0,77.0,2017-03-23,2100.0,0.1,0.3,100.8,495.4,32
3125000.0,4.0,1931.0,35920.0,87.0,2017-03-23,2300.0,0.1,0.3,100.8,495.4,29
3095000.0,2.0,1944.0,48359.0,64.0,2017-03-23,2000.0,0.1,0.3,100.8,495.4,9
2595000.0,2.0,1895.0,47182.0,55.0,2017-03-23,1668.0,0.1,0.3,100.8,495.4,31
1860000.0,2.0,1940.0,35769.0,52.0,2017-03-23,2300.0,0.1,0.3,100.8,495.4,29
1750000.0,3.0,1948.0,25735.0,68.0,2017-03-23,2800.0,0.1,0.3,100.8,495.4,25
1350000.0,2.0,1969.0,17763.0,76.0,2017-03-23,2635.0,0.1,0.3,100.8,495.4,20
1095000.0,3.0,1971.0,11649.0,94.0,2017-03-23,2990.0,0.1,0.3,100.8,495.4,34
1777000.0,2.0,1936.0,30119.0,59.0,2017-03-23,2450.0,0.1,0.3,100.8,495.4,30
2100000.0,2.0,1936.0,30882.0,68.0,2017-03-23,2300.0,0.1,0.3,100.8,495.4,29
2175000.0,2.0,1939.0,35081.0,62.0,2017-03-23,2300.0,0.1,0.3,100.8,495.4,29
1400000.0,2.0,1944.0,26923.0,52.0,2017-03-23,2800.0,0.1,0.3,100.8,495.4,25
3095000.0,3.0,1873.0,48359.0,64.0,2017-03-23,1911.0,0.1,0.3,100.8,495.4,10
1600000.0,3.0,1951.0,21053.0,76.0,2017-03-23,2850.0,0.1,0.3,100.8,495.4,36
1595000.0,2.0,1946.0,25317.0,63.0,2017-03-23,2820.0,0.1,0.3,100.8,495.4,11
3495000.0,3.0,1881.0,48542.0,72.0,2017-03-23,2200.0,0.1,0.3,100.8,495.4,27
4871567.0,3.0,2018.0,46396.0,105.0,2017-03-23,2450.0,0.1,0.3,100.8,495.4,30
3175000.0,4.0,2017.0,28864.0,110.0,2017-03-23,2730.0,0.1,0.3,100.8,495.4,16
8495000.0,6.0,1680.0,46934.0,181.0,2017-03-23,1470.0,0.1,0.3,100.8,495.4,26
3399000.0,4.0,2018.0,35041.0,97.0,2017-03-23,2300.0,0.1,0.3,100.8,495.4,29
3407500.0,1.0,2005.0,29630.0,115.0,2017-03-22,2300.0,0.1,0.3,100.8,495.4,29
2010000.0,3.0,1903.0,34068.0,59.0,2017-03-22,2300.0,0.1,0.3,100.8,495.4,29
2870000.0,3.0,1949.0,35432.0,81.0,2017-03-22,2000.0,0.1,0.3,100.8,495.4,9
1375000.0,2.0,1937.0,41667.0,33.0,2017-03-22,2720.0,0.1,0.3,100.8,495.4,48
3150000.0,3.0,1895.0,37952.0,83.0,2017-03-22,1674.0,0.1,0.3,100.8,495.4,31
1095000.0,2.0,1942.0,26071.0,42.0,2017-03-22,2800.0,0.1,0.3,100.8,495.4,25
3499000.0,4.0,1970.0,34304.0,102.0,2017-03-22,2720.0,0.1,0.3,100.8,495.4,48
1650000.0,2.0,1935.0,31132.0,53.0,2017-03-22,2500.0,0.1,0.3,100.8,495.4,45
2300000.0,2.0,2006.0,33824.0,68.0,2017-03-22,2450.0,0.1,0.3,100.8,495.4,30
1150000.0,2.0,1943.0,28049.0,41.0,2017-03-22,2800.0,0.1,0.3,100.8,495.4,25
10500000.0,8.0,1794.0,42000.0,250.0,2017-03-22,1302.0,0.1,0.3,100.8,495.4,26
1313000.0,2.0,1940.0,19894.0,66.0,2017-03-22,2300.0,0.1,0.3,100.8,495.4,29
2000000.0,2.0,1919.0,32787.0,61.0,2017-03-22,2900.0,0.1,0.3,100.8,495.4,15
3875000.0,3.0,1916.0,46687.0,83.0,2017-03-22,2100.0,0.1,0.3,100.8,495.4,32
7625000.0,3.0,2003.0,60039.0,127.0,2017-03-22,2920.0,0.1,0.3,100.8,495.4,6
1955000.0,2.0,1939.0,32583.0,60.0,2017-03-22,2720.0,0.1,0.3,100.8,495.4,48
2125000.0,3.0,1901.0,34836.0,61.0,2017-03-22,2300.0,0.1,0.3,100.8,495.4,29
3525000.0,4.0,2007.0,30921.0,114.0,2017-03-22,2300.0,0.1,0.3,100.8,495.4,29
3498000.0,3.0,2007.0,37613.0,93.0,2017-03-22,2500.0,0.1,0.3,100.8,495.4,45
2595000.0,3.0,2017.0,27903.0,93.0,2017-03-22,2600.0,0.1,0.3,100.8,495.4,12
2995000.0,3.0,2017.0,29950.0,100.0,2017-03-22,2880.0,0.1,0.3,100.8,495.4,1
4316106.0,7.0,2018.0,41501.0,104.0,2017-03-22,2450.0,0.1,0.3,100.8,495.4,30
4399000.0,4.0,2021.0,39631.0,111.0,2017-03-22,2610.0,0.1,0.3,100.8,495.4,38
2995000.0,2.0,2018.0,41597.0,72.0,2017-03-22,1799.0,0.1,0.3,100.8,495.4,31
1325000.0,2.0,1937.0,23661.0,56.0,2017-03-21,2820.0,0.1,0.3,100.8,495.4,11
1295000.0,2.0,1966.0,23981.0,54.0,2017-03-21,2860.0,0.1,0.3,100.8,495.4,43
2570000.0,3.0,1904.0,34267.0,75.0,2017-03-21,2300.0,0.1,0.3,100.8,495.4,29
37000000.0,6.0,1918.0,105114.0,352.0,2017-03-21,2900.0,0.1,0.3,100.8,495.4,15
1825000.0,2.0,1939.0,31466.0,58.0,2017-03-21,2720.0,0.1,0.3,100.8,495.4,48
1625000.0,3.0,1967.0,19817.0,82.0,2017-03-21,2605.0,0.1,0.3,100.8,495.4,3
1760000.0,2.0,1941.0,33846.0,52.0,2017-03-21,2300.0,0.1,0.3,100.8,495.4,29
1975000.0,3.0,1961.0,23235.0,85.0,2017-03-21,2970.0,0.1,0.3,100.8,495.4,19
4145000.0,2.0,2006.0,47644.0,87.0,2017-03-21,2300.0,0.1,0.3,100.8,495.4,29
3775000.0,4.0,1932.0,33114.0,114.0,2017-03-21,2900.0,0.1,0.3,100.8,495.4,15
1550000.0,3.0,1973.0,20667.0,75.0,2017-03-21,2630.0,0.1,0.3,100.8,495.4,44
1290000.0,2.0,1970.0,18971.0,68.0,2017-03-21,2635.0,0.1,0.3,100.8,495.4,20
1565000.0,2.0,1935.0,29528.0,53.0,2017-03-21,2400.0,0.1,0.3,100.8,495.4,28
3650000.0,3.0,2007.0,40556.0,90.0,2017-03-21,2300.0,0.1,0.3,100.8,495.4,29
5425000.0,3.0,2008.0,48438.0,112.0,2017-03-21,2450.0,0.1,0.3,100.8,495.4,30
4495000.0,3.0,2018.0,47316.0,95.0,2017-03-21,1799.0,0.1,0.3,100.8,495.4,31
6295000.0,4.0,2018.0,41967.0,150.0,2017-03-21,1799.0,0.1,0.3,100.8,495.4,31
3118086.0,2.0,2018.0,45854.0,68.0,2017-03-21,2150.0,0.1,0.3,100.8,495.4,35
4395000.0,3.0,2017.0,44847.0,98.0,2017-03-21,1799.0,0.1,0.3,100.8,495.4,31
4695000.0,3.0,2013.0,37560.0,125.0,2017-03-21,2000.0,0.1,0.3,100.8,495.4,9
3750000.0,3.0,2018.0,46296.0,81.0,2017-03-21,2150.0,0.1,0.3,100.8,495.4,35
4025000.0,4.0,2014.0,43280.0,93.0,2017-03-21,1432.0,0.1,0.3,100.8,495.4,26
3195000.0,2.0,2017.0,42039.0,76.0,2017-03-21,1799.0,0.1,0.3,100.8,495.4,31
6400000.0,4.0,1959.0,57143.0,112.0,2017-03-21,2930.0,0.1,0.3,100.8,495.4,23
1955000.0,2.0,2007.0,26419.0,74.0,2017-03-21,2860.0,0.1,0.3,100.8,495.4,43
1375000.0,1.0,1971.0,25943.0,53.0,2017-03-20,2720.0,0.1,0.3,100.8,495.4,48
1745000.0,3.0,1970.0,18177.0,96.0,2017-03-20,2635.0,0.1,0.3,100.8,495.4,20
1135000.0,1.0,1965.0,24674.0,46.0,2017-03-20,2860.0,0.1,0.3,100.8,495.4,43
3750000.0,3.0,1882.0,47468.0,79.0,2017-03-20,1307.0,0.1,0.3,100.8,495.4,26
2488000.0,2.0,1916.0,35543.0,70.0,2017-03-20,2100.0,0.1,0.3,100.8,495.4,32
2800000.0,2.0,1917.0,45161.0,62.0,2017-03-20,2000.0,0.1,0.3,100.8,495.4,9
1650000.0,3.0,1946.0,24627.0,67.0,2017-03-20,2860.0,0.1,0.3,100.8,495.4,43
4700000.0,3.0,2005.0,41964.0,112.0,2017-03-20,2300.0,0.1,0.3,100.8,495.4,29
1799000.0,2.0,1936.0,29983.0,60.0,2017-03-20,2500.0,0.1,0.3,100.8,495.4,45
2250000.0,3.0,1967.0,24725.0,91.0,2017-03-20,2610.0,0.1,0.3,100.8,495.4,38
2695000.0,2.0,1908.0,40833.0,66.0,2017-03-20,2000.0,0.1,0.3,100.8,495.4,9
2150000.0,3.0,1935.0,33077.0,65.0,2017-03-20,2100.0,0.1,0.3,100.8,495.4,32
1745000.0,2.0,1987.0,27698.0,63.0,2017-03-20,2720.0,0.1,0.3,100.8,495.4,48
925000.0,1.0,1966.0,24342.0,38.0,2017-03-20,2880.0,0.1,0.3,100.8,495.4,1
1350000.0,3.0,1972.0,17308.0,78.0,2017-03-20,2640.0,0.1,0.3,100.8,495.4,14
1845000.0,2.0,1937.0,32368.0,57.0,2017-03-20,2000.0,0.1,0.3,100.8,495.4,9
2203751.0,2.0,1965.0,50085.0,44.0,2017-03-20,2200.0,0.1,0.3,100.8,495.4,27
4010000.0,4.0,1978.0,32869.0,122.0,2017-03-20,2000.0,0.1,0.3,100.8,495.4,9
3150000.0,4.0,2007.0,34239.0,92.0,2017-03-20,2860.0,0.1,0.3,100.8,495.4,43
